,,21-Jan-09,,,
Anthem AV pre/pro RS-232 commands,,,,,
Main Zone Specific Commands,,,,,
Command,Parameters,Description,,,
,,"Note that anywhere in this document ""source n"" may, unless specified otherwise, be a character equal to '0'-'9' or 'c'-'j' where (0=CD, 1=2-Ch BAL, 2=6-Ch S/E, 3=tape, 4=FM/AM, 5=DVD1, 6=TV1, 7=SAT1, 8=VCR, 9=AUX, c=current main zone source, d=DVD2, e=DVD3, f=DVD4, g=TV2, h=TV3, i=TV4, j=SAT2). Note that sources 'd' to 'j' are not available in older versions of the software.",,,
P1P,x,Main Zone Power on/off ,,,
,,"where x = 0,1 (off, on)",,,
P1S,n,Set main zone source to n.,,,
P1X,nm,Set main zone to video source n and audio source m simulcast.,,,
P1M,x,Mute/un-mute the Main zone  ,,,
,,"where x = 0,1 (un-mutes, mutes)",,,
P1MT,,Mute/Unmute toggle on Main zone,,,
P1VM,sxx.xx,Set Main master volume to sxx.xx dB,,,
,,where sxx.x = MainMaxVol to -95.5 dB in 0.5 dB steps ,,,
P1VMU,xx.xx,"Increase Main master volume (similar to vol up on remote) If the optional floating point parameter is included  then the volume is increased by this many decibels, otherwise it is increased by 0.5 dB.",,,
P1VMD,xx.xx,"Decrease Main master volume (similar to vol down on remote) If the optional floating point parameter is included then the volume is decreased by this many decibels, otherwise it is decreased by 0.5 dB.",,,
P1VF,sxx.xx,Set current Main zone front volume to sxx.xx dB (ignored if no signal),,,
,,where sxx.x = +10.0 to -10.0 dB in .5 dB steps ,,,
P1VC,sxx.xx,Set current Main zone center volume to sxx.xx dB (ignored if no signal),,,
,,where sxx.x = +10.0 to -10.0 dB in .5 dB steps ,,,
P1VR,sxx.xx,Set current Main zone surround volume to sxx.xx dB (ignored if no signal),,,
,,where sxx.x = +10.0 to -10.0 dB in .5 dB steps ,,,
P1VB,sxx.xx,Set current Main zone back volume to sxx.xx dB (ignored if no signal),,,
,,where sxx.x = +10.0 to -10.0 dB in .5 dB steps ,,,
P1VS,sxx.xx,Set current Main zone sub volume to sxx.xx dB (ignored if no signal),,,
,,where sxx.x = +20.0 to -30.0 dB in .5 dB steps ,,,
